protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_MYS.7.7.m.44342,-0.00160388548347727,0.0258244410444625,Yes,lightsteelblue,pale purple,Myosin heavy chain; striated muscle,TRAFAC class myosin-kinesin ATPase superfamily; Myosin family,,GO:0003774; GO:0005516; GO:0005524; GO:0030016; GO:0032982; GO:0051015,NA,NA
CHOYP_contig_043818.m.50622,-0.00555955982486434,0.0273049007919819,Yes,lightsteelblue,pale purple,Rootletin (Ciliary rootlet coiled-coil protein),Rootletin family,CROCC KIAA0445,GO:0001917; GO:0003779; GO:0005198; GO:0005813; GO:0005814; GO:0005829; GO:0005886; GO:0007098; GO:0008104; GO:0010457; GO:0010669; GO:0015629; GO:0019894; GO:0032053; GO:0033365; GO:0035253; GO:0045494; GO:0045724; GO:0051656; GO:0070062; GO:1903566,NA,NA
CHOYP_LOC762871.1.1.m.37896,0.00672997269702039,0.0259319630693697,Yes,lightsteelblue,pale purple,Ras-related protein Rab-14,Small GTPase superfamily; Rab family,RAB14,GO:0000139; GO:0003924; GO:0005525; GO:0005802; GO:0005829; GO:0006895; GO:0008543; GO:0015031; GO:0019003; GO:0031901; GO:0032456; GO:0032880; GO:0042742; GO:0045335; GO:0045995; GO:0055037; GO:0090382,NA,NA
CHOYP_BICRD.1.1.m.11088,-0.00538712343072194,0.0274822514249731,Yes,lightsteelblue,pale purple,Bicaudal D-related protein homolog (BICD-related protein homolog),BICDR family,CG17365 CG32137,,NA,NA
CHOYP_contig_025032.m.28479,-0.00635405170079247,0.025167295794646,Yes,lightsteelblue,pale purple,NA,NA,NA,NA,NA,NA
CHOYP_contig_053582.m.64175,0.00554856542321626,0.0247420234227825,Yes,lightsteelblue,pale purple,NA,NA,NA,NA,NA,NA
CHOYP_EATER.1.1.m.30042,-0.00557498394898204,0.0276420124845386,Yes,lightsteelblue,pale purple,NA,NA,NA,NA,NA,NA
CHOYP_MIB1.2.4.m.35815,-0.0034199641938913,0.0293317645243492,Yes,lightsteelblue,pale purple,NA,NA,NA,NA,NA,NA
ALBU_BOVIN,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CAS1_BOVIN,0.00364778592941831,-0.00872052841558097,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_14332.1.2.m.5643,0.00541285573528794,0.000603020059034518,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_14332.2.2.m.61737,-0.00610381801843818,0.00341911344674545,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_1433E.1.2.m.3638,0.0115853639905371,-0.00238300859844138,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_1433G.2.2.m.63450,0.0166995593233298,0.0043038022238141,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_1433G.2.2.m.63451,0.00363952085853946,0.00980383130021234,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_1433Z.1.1.m.17045,0.00390650195873591,-0.0157177002434198,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_2A5D.2.3.m.32240,-0.00534932543946547,0.00269565515987779,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_2A5D.3.3.m.37716,0.00646556234658078,-0.00103824700459865,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_2AAA.1.1.m.13306,0.019445427359137,0.00750597282738811,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_2AAA.1.1.m.13307,0.00313434933825209,0.000707885025146481,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_3BP2.2.3.m.19302,-0.0117840187678984,-0.00112785624279877,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_41.2.3.m.31169,0.00679757959216022,-0.00115266428138832,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_4EBP1.1.1.m.12045,0.0139996983982387,0.000366837086967216,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_4ET.1.1.m.1941,-0.0126315432413562,-0.0197538418613603,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_5HTR.1.1.m.64867,0.00771081330299199,-0.00913916289310523,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_5NT3.1.1.m.24925,-0.0110352964398183,-0.00933355775432751,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_A1CF.1.2.m.8145,0.00265153133358446,-0.025440209746798,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_A2M.2.3.m.54214,-0.0140180637208613,-0.00544489775835907,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_A4.2.3.m.7550,-0.00931700054019845,-0.0159057933521554,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_A4.3.3.m.22262,-0.00191822143756884,0.00514339026423021,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AACS.1.1.m.66267,-0.0135038296271284,0.00436760616894779,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AADAT.1.1.m.12672,0.0086892103984643,0.0034750824164027,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL000057.1.1.m.36013,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL001424.1.1.m.40785,-0.0129999535844236,-0.00496013567189429,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL001503.1.1.m.10649,-0.00664205134354817,0.00740531826304885,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL001706.1.1.m.43821,-0.0128431132862894,-0.0218888486956745,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL002456.1.1.m.35591,0.0182911210723181,-0.0106594386817325,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL002467.1.2.m.47358,0.00966286802969589,0.0207032214262638,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL003539.1.1.m.16619,-0.0117918319448309,0.0172152943026415,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL003853.1.2.m.39529,0.00720951496115733,0.000281821105321817,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL004399.1.1.m.3003,-0.00657857402170264,-0.00918685295250935,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL004839.1.1.m.13815,-0.0182821321988827,0.00411885649317285,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL005197.1.1.m.59507,0.00794058832768384,-0.00060654990182357,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL006854.1.1.m.13363,-0.0136821502884113,0.00277490249644619,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL006988.1.1.m.49733,0.0043598084688083,0.00362080013799353,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL007173.1.1.m.41471,0.0012126085831207,0.0153313184329557,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL007437.1.1.m.29443,0.00202806839156309,-0.0148196248165978,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL007549.1.1.m.13827,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL007787.1.1.m.13188,-0.00732257425115647,-0.0146642504795315,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL008069.1.2.m.58164,0.0189571278358316,-0.006224521576325,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL008069.2.2.m.60920,0.0225370770279194,0.00967730891449748,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL008069.2.2.m.60921,0.00936201730048594,-0.00305581836978595,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL008257.2.3.m.36861,0.00968946585961669,0.0166180298044024,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL009169.1.1.m.24699,-0.0147091911747256,-0.00330228193088716,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL009187.1.1.m.25730,2.06819537055031e-05,-0.0124196373299533,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL009387.1.1.m.66163,-0.00408415910740583,0.00329166332060274,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL009414.1.1.m.639,-0.00894291432603468,-0.00168859213131435,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL010339.1.1.m.63259,-0.0109411326615898,0.00488861312949134,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL010626.1.1.m.52019,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL010939.1.1.m.64870,-0.0123311822221413,0.0124461897166779,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL011273.1.1.m.12717,0.0108678977200967,-0.0054910232064387,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL011391.1.1.m.10090,0.00618279507491205,-0.0126981804827876,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL011527.1.1.m.20909,0.0131345363113451,-0.0104528724189718,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL011814.1.1.m.48797,-0.00102330611145051,-0.0134449812549459,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL011979.1.1.m.59057,0.0196010528847892,-0.00896027139457213,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL012012.1.1.m.11873,0.0220667175495212,-0.0102340760916152,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL012950.1.1.m.1373,-0.0113844776830572,-0.0244366865973082,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL013229.1.2.m.30359,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL013229.2.2.m.57593,0.000439194760131719,-0.0017034586448507,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL014931.1.1.m.24932,0.0145313622482193,-0.0184344837498797,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL015271.1.1.m.56223,-0.0123480459723306,0.00793002007223769,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAK1.1.1.m.14768,-0.00840622109614076,-0.023390391993875,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAK1.1.1.m.14769,0.00160726467355595,0.00902471189384735,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAKG2.1.1.m.55638,0.0112925270307352,0.0103620064755728,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAMP.1.1.m.13698,0.0016655345453976,0.016716328203916,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AASI_1435.2.35.m.17918,0.00510957344075131,-0.000770873568960176,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AASI_1435.28.35.m.60443,-0.00500893770365976,0.0118487283515762,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AASI_1435.35.35.m.65339,0.00214784734152193,-0.000872101574343081,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AATF.1.1.m.34004,-2.07664155134811e-05,-0.0134878536078055,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AATM.1.1.m.32176,0.0189541059759173,-0.00960100262151469,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABCA1.1.3.m.6501,0.0042652500802365,-0.0132926490761424,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABCA1.3.3.m.56453,0.00151253339735992,-0.0129490092460305,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABCA3.2.6.m.4295,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABCA3.5.6.m.54787,-0.00639594577434199,-0.00422707033842507,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABCA4.1.1.m.31461,0.00569746642867594,-0.000846254052187188,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABCB6.2.3.m.11344,0.00181286259258919,0.0192654195189296,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABCB6.3.3.m.53101,0.00678620130084429,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABCE1.1.2.m.7437,0.00447222632446958,0.0133609820040408,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABCE1.2.2.m.42246,-0.00387336303228706,-0.00309837843764422,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABCF2.1.2.m.28362,0.00304675990507579,-0.0226369152245569,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABCG8.1.1.m.3707,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABHD2.2.2.m.32276,-0.00509932701445558,-0.00529577396612805,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABI2.2.2.m.65629,-0.0108355079463781,0.00598640062581216,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ABL1.1.1.m.55647,-0.00126908296662862,0.0115247140528816,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACA1_060860.1.1.m.52568,0.00553482353085891,-0.00138545099165183,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACA1_091870.1.1.m.43726,-0.014087636213527,-0.0226023029807344,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACA1_394750.1.2.m.54181,0.0115697627185466,0.015550017158337,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACAA2.1.1.m.30666,0.0114394113791706,-0.00843208935687764,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACAC.1.2.m.16888,0.00204834979311556,-0.0141830029287765,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACAC.2.2.m.58115,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACAD8.1.1.m.9135,-0.0131994291743921,0.00754614016052274,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACADL.1.1.m.5508,0.0107938472038812,-0.0159585228854162,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACBD5.1.2.m.16744,0.00285721448177987,-0.0160442250248811,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACBP.1.4.m.15501,0.00321769576970641,-0.00592534984219981,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACDOPBH.1.9.m.8787,-0.0141816091754927,0.010040411887292,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACDOPBH.5.9.m.42992,0.0222704727120319,-0.0107397066353212,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACDOPBH.8.9.m.52946,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACDOPBH.9.9.m.63296,0.00217997094733793,-0.00807271368859912,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACE.2.4.m.5302,0.0175960137409608,0.0142156748230214,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACE.4.4.m.17563,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACH5.1.1.m.3951,0.00205195042830453,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACH7.2.2.m.66217,-0.00755848869026006,-0.00986736846256615,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACIN1A.2.2.m.51408,-0.00646612286748514,-0.0119179427625798,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACL6B.1.1.m.62588,-0.00138239049053797,-0.0220375767098788,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACLA_093460.1.1.m.41459,0.00615540794812729,0.000977991926744791,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACLY.1.1.m.65081,0.00441018900111353,-0.000956248173712807,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACO13.1.1.m.30659,-0.00422199242854285,-0.000836489480175725,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACON.1.1.m.61060,0.00609217637260524,-0.00659953702328229,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACOX1.3.3.m.26948,-0.00464343905357238,0.000885918742514805,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACOX3.1.1.m.60111,-0.00294666820547375,-0.000785859778151655,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACSA.1.1.m.61294,0.0194266642447696,0.00570355405414451,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACSF2.2.4.m.30204,-0.0226647746948131,0.0103356298718091,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACSF3.1.1.m.14825,-0.0226585903554283,0.00565677411699104,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACSL1.1.1.m.685,0.0118541115358069,-0.0186685420551857,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACSL1.1.1.m.686,-0.00454411661318094,0.00786254898255953,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACSL4.1.1.m.24576,-0.0120513075346553,0.00437967362441195,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACSM3.1.1.m.23686,0.0124853054070081,0.0180426098096687,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT.13.27.m.39351,0.00657604145551256,0.00140449348657484,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT.19.27.m.53936,0.0149471750643559,0.00706405289095721,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT.22.27.m.58204,0.00657610534144891,0.00140565484153229,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT.23.27.m.58454,0.000528370147298741,0.00425406425257451,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT.4.27.m.14034,0.010958415045818,-0.015804395195185,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT.5.27.m.15585,-0.0135725579708752,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT.6.27.m.15622,0.00418284563392256,-0.00825949738878815,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT1.3.7.m.25836,-0.00508213007207559,-0.0113795713020634,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT1.4.7.m.29125,-0.00351634936923041,-0.0113926921186719,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT3.1.3.m.23292,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT3.3.3.m.66907,0.00385921382805755,0.00792494932385967,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT3A.1.1.m.25941,-0.0048524541200354,-0.0105234460288928,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT3A.1.1.m.25943,0.00562676436762251,-0.00463295435182343,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACT5.3.3.m.41147,0.00505457496322762,-0.00579646574533394,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACTC.2.6.m.15315,-0.00981646347672255,0.00149419801211368,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACTC.3.6.m.21571,0.000545635823452151,-0.000655691924546722,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACTN.1.2.m.15252,0.016778644994095,0.0111879327685404,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACTN.2.2.m.63975,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACTP1.1.1.m.30455,0.00638157298335478,-0.00621502572338691,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ACTZ.1.1.m.12877,0.0123681604985206,0.0223827908772083,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ADA.1.1.m.5625,0.0228387066678412,0.000797030773259247,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ADA17.1.3.m.798,-0.00113348829386878,0.00883946016973278,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ADA17.3.3.m.54971,0.00957176764858472,-0.0177976981803299,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ADAL.1.1.m.57556,-0.00622709792888637,0.0156398514842057,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ADAMTS12.1.2.m.29930,-0.0175718313270308,0.00883632994904679,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ADAMTS16.1.1.m.28149,-0.0148114634474016,-0.013738985419592,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ADAMTS18.1.2.m.4932,0.0100120906543174,-0.0100212408566399,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ADAR.2.3.m.45677,-0.0223552689223268,0.0106337810899947,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ADD.2.5.m.15081,-0.0093675833853554,-0.0110753436251031,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ADD.3.5.m.17639,0.0124127828250095,0.00607421681401,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ADHX.1.1.m.60159,0.0155201895002575,-0.00310935708914187,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AFG32.1.1.m.59372,0.0158968649835711,-0.00444723698803914,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AFG32.1.1.m.59373,0.0232192008672767,-0.00567060967249501,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AFUA_1G01020.33.50.m.43179,-0.00419413713711313,-0.00470678109842901,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AFUA_1G01020.7.50.m.19296,-0.0226643852735943,0.0103395651289736,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AFURIN2.1.1.m.59865,-0.00762908749931632,-0.00740120844998631,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP000232.1.1.m.1999,-0.0138853875389344,0.0209374978236086,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP000991.1.1.m.5123,-1.95457754253842e-05,-0.0134879144259917,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP002199.1.1.m.25337,-0.0157024433050191,-0.0149608192786797,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP002350.1.1.m.37286,0.0198344077607077,-0.0049635471565442,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP002350.1.1.m.37287,0.0209717404248646,0.00717045008780549,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP002739.1.5.m.19925,0.015306895358271,-0.0177572076560795,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP002739.3.5.m.47030,0.0127209610421702,0.0211914120554459,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP002739.4.5.m.55695,0.00126796539837398,0.00327973651652605,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP002739.5.5.m.60925,0.00767248748857586,-0.00811318854912628,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP004136.1.3.m.24172,-0.00524231273998575,-0.00871322685542995,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP004136.3.3.m.44418,-0.00461032666688406,0.00517628292991608,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP004136.3.3.m.44420,0.0165928532397546,0.0024851584236299,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP004179.1.1.m.33303,-0.0147855264111638,0.0201846631890994,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP004481.1.1.m.8676,-0.00796875194566979,-0.015907099275066,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP004499.1.1.m.13546,0.00770581669896237,0.00192808908417931,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP004861.2.2.m.54567,0.00127250841070931,-0.0130132162550223,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP004868.1.1.m.60336,-0.00625662029427278,-0.00875926428651791,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP004885.1.1.m.29831,-0.00402682744518654,-0.000813220213035535,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP005057.1.1.m.62428,0.0123000715881362,-0.012963476266258,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP005942.1.3.m.3157,0.0126042943101295,-0.0182952213164949,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP006478.1.1.m.44472,-0.014179408597927,-0.00484261640037666,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP006590.1.1.m.42108,-0.0056452676468711,-0.00334461631785159,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP006810.1.2.m.12514,-0.00212078832001384,-0.00891837260408135,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP007120.1.1.m.57542,0.0134363842390145,0.0202273998659239,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP007340.1.2.m.2953,-0.00554267820351206,-0.0124568139784208,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP007368.1.1.m.8474,0.00949977936261778,0.000266119802622835,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP007681.1.1.m.36727,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP008046.1.1.m.58394,0.0164105973652417,0.000887632658355761,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP008287.1.1.m.58727,-0.00562148269582489,0.000400122164736522,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP010186.1.1.m.62503,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP010186.1.1.m.62505,0.00633394062599045,-0.00682201632352521,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP010490.1.1.m.51445,-0.0097727659188278,0.0122403843213234,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP011617.1.2.m.29071,0.0209635531279933,-0.0129601606898922,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGAP_AGAP013102.1.1.m.50186,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AGO2.1.1.m.17145,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
