"Supplemental Table 4. ASCA time effect scores, clustering, and GO enrichment analysis results. ",,,,,,,,,,,,,
protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_MP2K4.1.1.m.10635,-0.017883363,0.039360927,Yes,green,green,P47809,Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (C-JUN N-terminal kinase kinase 1) (JNK kinase 1) (JNKK 1) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1),Protein kinase superfamily; STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,Map2k4 Jnkk1 Mek4 Mkk4 Prkmk4 Sek1 Serk1 Skk1,axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite cytoplasm [GO:0032839]; nucleus [GO:0005634]; perikaryon [GO:0043204]; ATP binding [GO:0005524]; JUN kinase kinase activity [GO:0008545]; MAP kinase kinase activity [GO:0004708]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; activation of JUN kinase activity [GO:0007257]; activation of MAPK activity [GO:0000187]; activation of protein kinase activity [GO:0032147]; apoptotic process [GO:0006915]; cell growth involved in cardiac muscle cell development [GO:0061049]; cellular response to mechanical stimulus [GO:0071260]; cellular response to sorbitol [GO:0072709]; JNK cascade [GO:0007254]; MAPK cascade [GO:0000165]; negative regulation of motor neuron apoptotic process [GO:2000672]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA replication [GO:0045740]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of smooth muscle cell apoptotic process [GO:0034393]; protein phosphorylation [GO:0006468]; response to wounding [GO:0009611]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098],GO:0000165; GO:0000187; GO:0001934; GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0006915; GO:0007254; GO:0007257; GO:0008545; GO:0009611; GO:0023014; GO:0030424; GO:0031098; GO:0031435; GO:0032147; GO:0032839; GO:0034393; GO:0043065; GO:0043204; GO:0043525; GO:0045740; GO:0051770; GO:0061049; GO:0071260; GO:0072709; GO:2000672,GO:0000187; GO:0007257; GO:0061049,cellular protein modification process; response to stress; signal transduction; cell differentiation; growth; anatomical structure development
CHOYP_FABP6.2.2.m.59518,-0.031781345,0.0451785,Yes,green,green,O01812,Fatty acid-binding protein homolog 6,Calycin superfamily; Fatty-acid binding protein (FABP) family,lbp-6 W02D3.5,lipid binding [GO:0008289],GO:0008289,NA,NA
CHOYP_CRE_20365.1.3.m.20889,0.015336463,0.046060237,Yes,green,green,Q21828,Probable mitochondrial pyruvate carrier 1 (MPC1),Mitochondrial pyruvate carrier (MPC) (TC 2.A.105) family,mpc-1 R07E5.13,integral component of mitochondrial inner membrane [GO:0031305]; pyruvate transmembrane transporter activity [GO:0050833]; mitochondrial pyruvate transmembrane transport [GO:0006850],GO:0006850; GO:0031305; GO:0050833,NA,NA
CHOYP_GKAP1.1.1.m.18792,0.003324384,0.039902078,Yes,green,green,Q6NWC9,G kinase-anchoring protein 1,GKAP1 family,gkap1 zgc:85804,Golgi apparatus [GO:0005794]; signal transduction [GO:0007165],GO:0005794; GO:0007165,NA,NA
CHOYP_AAEL_AAEL001706.1.1.m.43821,-0.030700633,0.045905851,Yes,green,green,Q5ZLH0,NTF2-related export protein 2,,NXT2 RCJMB04_6d20,cytoplasm [GO:0005737]; nuclear pore central transport channel [GO:0044613]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein transporter activity [GO:0008565]; mRNA transport [GO:0051028]; nucleocytoplasmic transport [GO:0006913]; protein import into nucleus [GO:0006606],GO:0005634; GO:0005737; GO:0006606; GO:0006913; GO:0008565; GO:0044613; GO:0048471; GO:0051028,NA,NA
CHOYP_LOC100329062.2.2.m.39235,-0.007347242,0.05036031,Yes,green,green,Q9CS74,Protein ecdysoneless homolog,ECD family,Ecd,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; histone acetyltransferase binding [GO:0035035]; cell proliferation [GO:0008283]; mRNA processing [GO:0006397]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; RNA splicing [GO:0008380],GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006397; GO:0008283; GO:0008380; GO:0035035; GO:0045944; GO:2000045,NA,NA
CHOYP_LOC100030437.1.3.m.5994,0.003433768,0.058353188,Yes,green,green,A2AX52,Collagen alpha-4(VI) chain,Type VI collagen family,Col6a4 Dvwa,collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; protein-containing complex [GO:0032991]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]; protein heterotrimerization [GO:0070208],GO:0005576; GO:0005581; GO:0007155; GO:0030020; GO:0030198; GO:0031012; GO:0032991; GO:0062023; GO:0070208,NA,NA
CHOYP_USP2.1.1.m.44411,0.017078054,0.048340015,Yes,green,green,H2A0M5,Uncharacterized shell protein 2 (Prism uncharacterized shell protein 10) (PUSP10),,,extracellular region [GO:0005576],GO:0005576,NA,NA
CHOYP_ACT.6.27.m.15622,0.012543688,0.044396754,Yes,green,green,Q92193,Actin (Fragment),Actin family,,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524],GO:0005524; GO:0005737; GO:0005856,NA,NA
CHOYP_TEMPT.3.3.m.40304,0.006474577,0.049045239,Yes,green,green,Q7Z0T3,Temptin,,,extracellular region [GO:0005576]; pheromone activity [GO:0005186],GO:0005186; GO:0005576,NA,NA
CHOYP_CALM.42.50.m.56135,-0.012368316,0.048409545,Yes,green,green,P0DP35,Calmodulin-2 B,Calmodulin family,calm2-b,calcium ion binding [GO:0005509]; signaling receptor binding [GO:0005102]; calcium-mediated signaling [GO:0019722],GO:0005102; GO:0005509; GO:0019722,NA,NA
CHOYP_AMY.2.3.m.15473,0.004683596,0.04442597,Yes,green,green,P91778,Alpha-amylase (EC 3.2.1.1) (1;4-alpha-D-glucan glucanohydrolase),Glycosyl hydrolase 13 family,,alpha-amylase activity [GO:0004556]; alpha-amylase activity (releasing maltohexaose) [GO:0103025]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975],GO:0004556; GO:0005975; GO:0046872; GO:0103025,NA,NA
CHOYP_LOC100744506.1.1.m.44043,0.028655525,0.035312435,Yes,green,green,O46037,Vinculin,Vinculin/alpha-catenin family,Vinc CG3299,actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytoplasmic side of apical plasma membrane [GO:0098592]; focal adhesion [GO:0005925]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; structural molecule activity [GO:0005198]; cell adhesion [GO:0007155]; cytoskeletal anchoring at plasma membrane [GO:0007016],GO:0003779; GO:0005198; GO:0005737; GO:0005925; GO:0007016; GO:0007155; GO:0015629; GO:0051015; GO:0098592,NA,NA
CHOYP_RLA1.5.12.m.15482,-0.000459859,0.072132988,Yes,green,green,O01359,60S acidic ribosomal protein P1 (Ribosomal protein RPL-21),Eukaryotic ribosomal protein P1/P2 family,rpl-21,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translational elongation [GO:0006414],GO:0003735; GO:0005840; GO:0006414,NA,NA
CHOYP_DVIR_GJ20612.1.1.m.14542,-0.005758779,0.051952599,Yes,green,green,Q291A0,39S ribosomal protein L41; mitochondrial (L41mt) (MRP-L41),Mitochondrion-specific ribosomal protein mL41 family,mRpL41 GA11937,mitochondrial large ribosomal subunit [GO:0005762]; ribonucleoprotein complex [GO:1990904]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],GO:0003735; GO:0005762; GO:0006412; GO:1990904,NA,NA
CHOYP_DANA_GF10776.1.1.m.18533,-0.015020498,0.035693899,Yes,green,green,Q2TBS2,39S ribosomal protein L21; mitochondrial (L21mt) (MRP-L21),Bacterial ribosomal protein bL21 family,MRPL21,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; structural constituent of ribosome [GO:0003735],GO:0003735; GO:0005743; GO:0005762,NA,NA
CHOYP_LOC100472408.1.1.m.17281,-0.002234864,0.03833194,Yes,green,green,Q562D6,tRNA (adenine(37)-N6)-methyltransferase (EC 2.1.1.-) (tRNA methyltransferase O),,Trmo,RNA binding [GO:0003723]; tRNA (adenine-N6-)-methyltransferase activity [GO:0016430]; tRNA methylation [GO:0030488],GO:0003723; GO:0016430; GO:0030488,NA,NA
CHOYP_ROA3.2.2.m.11068,-0.017972424,0.039698946,Yes,green,green,P51989,Heterogeneous nuclear ribonucleoprotein A2 homolog 1 (hnRNP A2(A)),,,nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397],GO:0003723; GO:0005634; GO:0006397; GO:0006406,NA,NA
CHOYP_BRAFLDRAFT_104488.3.3.m.2973,-0.012235827,0.045220542,Yes,green,green,Q9Y535,DNA-directed RNA polymerase III subunit RPC8 (RNA polymerase III subunit C8) (DNA-directed RNA polymerase III subunit H) (RNA polymerase III subunit 22.9 kDa subunit) (RPC22.9),Eukaryotic RPB7/RPC8 RNA polymerase subunit family,POLR3H KIAA1665 RPC8,centrosome [GO:0005813]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; RNA polymerase III complex [GO:0005666]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; nucleobase-containing compound metabolic process [GO:0006139]; transcription by RNA polymerase III [GO:0006383]; transcription initiation from RNA polymerase III promoter [GO:0006384],GO:0003677; GO:0003899; GO:0005654; GO:0005666; GO:0005813; GO:0005829; GO:0006139; GO:0006383; GO:0006384; GO:0043231; GO:0045087; GO:0051607,NA,NA
CHOYP_RL8.10.10.m.65636,-0.019588279,0.062163786,Yes,green,green,Q6PBF0,60S ribosomal protein L8,Universal ribosomal protein uL2 family,rpl8 TTpA008p15.1,cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181],GO:0002181; GO:0003735; GO:0019843; GO:0022625,NA,NA
CHOYP_LOC100377856.1.2.m.13657,0.00861639,0.042451622,Yes,green,green,Q9Z221,Polyamine-modulated factor 1-binding protein 1 (PMF-1-binding protein) (Outer dense fiber protein 3),,Pmfbp1 Odf3,outer dense fiber [GO:0001520]; sperm connecting piece [GO:0097224]; cytoskeleton organization [GO:0007010]; spermatogenesis [GO:0007283],GO:0001520; GO:0007010; GO:0007283; GO:0097224,NA,NA
CHOYP_LOC100883123.1.1.m.704,-0.013676713,0.037077439,Yes,green,green,P62501,TSC22 domain family protein 1 (Regulatory protein TSC-22) (TGFB-stimulated clone 22 homolog) (Transforming growth factor beta-1-induced transcript 4 protein),TSC-22/Dip/Bun family,Tsc22d1 Tgfb1i4 Tsc22,cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription activator activity; RNA polymerase II-specific [GO:0001228]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; positive regulation of transcription by RNA polymerase II [GO:0045944],GO:0000978; GO:0001228; GO:0005634; GO:0005737; GO:0045944,NA,NA
CHOYP_ALPHATUB84D.1.1.m.16562,0.006863244,0.054192437,Yes,green,green,P06605,Tubulin alpha-3 chain,Tubulin family,alphaTub84D TubA84D CG2512,cytoplasm [GO:0005737]; microtubule [GO:0005874]; perinuclear region of cytoplasm [GO:0048471]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; myosin binding [GO:0017022]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]; mitotic cytokinesis [GO:0000281],GO:0000226; GO:0000278; GO:0000281; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017; GO:0017022; GO:0048471,NA,NA
CHOYP_LOC100313569.1.1.m.15201,-0.018528566,0.035680715,Yes,green,green,Q13948,Protein CASP,CASP family,CUX1 CUTL1,Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of Golgi membrane [GO:0030173]; nucleoplasm [GO:0005654]; DNA-binding transcription factor activity; RNA polymerase II-specific [GO:0000981]; intra-Golgi vesicle-mediated transport [GO:0006891],GO:0000139; GO:0000981; GO:0005654; GO:0005794; GO:0006891; GO:0030173,NA,NA
CHOYP_DPSE_GA10259.1.1.m.36297,0.018483789,0.037376824,Yes,green,green,Q6NW29,RWD domain-containing protein 4 (Protein FAM28A),,RWDD4 FAM28A RWDD4A,,,NA,NA
CHOYP_BM8F.1.2.m.3009,0.006768627,0.041382617,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_84494.4.5.m.44543,0.005395905,0.042876652,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003670.m.4147,0.0274972,0.044778601,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003956.m.4511,-0.005294143,0.061784146,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_029222.m.33159,0.022103512,0.047442955,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038478.m.43530,0.010848879,0.043588766,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039363.m.44567,-0.00566085,0.038921557,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039460.m.44676,-0.020622774,0.036347321,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_FABP2.1.2.m.5800,0.004456092,0.043908578,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_IMSP5.1.2.m.5157,-0.028363551,0.042074079,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375293.2.2.m.58888,-0.01439181,0.037397138,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC656741.1.1.m.19820,0.003961673,0.04262094,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PITG_07096.1.1.m.4922,0.003315179,0.03579807,Yes,green,green,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_F10A1.4.4.m.44752,-0.008744356,-0.039529216,Yes,gray50,gray,Q5ZLF0,Hsc70-interacting protein (Hip) (Protein FAM10A1) (Protein ST13 homolog),FAM10 family,ST13 FAM10A1 RCJMB04_6h13,cytoplasm [GO:0005737]; protein dimerization activity [GO:0046983]; chaperone cofactor-dependent protein refolding [GO:0051085],GO:0005737; GO:0046983; GO:0051085,GO:0051085,protein folding
CHOYP_NEMVEDRAFT_V1G165338.1.1.m.60296,0.002239046,-0.056398569,Yes,gray50,gray,P60517,Gamma-aminobutyric acid receptor-associated protein (GABA(A) receptor-associated protein),ATG8 family,Gabarap,actin cytoskeleton [GO:0015629]; autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; axoneme [GO:0005930]; cell body [GO:0044297]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; lysosome [GO:0005764]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; smooth endoplasmic reticulum [GO:0005790]; sperm midpiece [GO:0097225]; beta-tubulin binding [GO:0048487]; GABA receptor binding [GO:0050811]; microtubule binding [GO:0008017]; ubiquitin protein ligase binding [GO:0031625]; autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; cellular response to nitrogen starvation [GO:0006995]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; microtubule cytoskeleton organization [GO:0000226]; protein transport [GO:0015031],GO:0000045; GO:0000139; GO:0000226; GO:0000421; GO:0000422; GO:0005764; GO:0005776; GO:0005790; GO:0005829; GO:0005874; GO:0005875; GO:0005886; GO:0005930; GO:0006995; GO:0008017; GO:0008625; GO:0015031; GO:0015629; GO:0031410; GO:0031625; GO:0044297; GO:0048471; GO:0048487; GO:0050811; GO:0097225,GO:0008625,signal transduction; cell death
CHOYP_BRAFLDRAFT_118250.1.1.m.11178,-0.003278656,-0.063759123,Yes,gray50,gray,O95295,SNARE-associated protein Snapin (Biogenesis of lysosome-related organelles complex 1 subunit 7) (BLOC-1 subunit 7) (Synaptosomal-associated protein 25-binding protein) (SNAP-associated protein),SNAPIN family,SNAPIN BLOC1S7 SNAP25BP SNAPAP,axon cytoplasm [GO:1904115]; BLOC-1 complex [GO:0031083]; BORC complex [GO:0099078]; cell junction [GO:0030054]; Golgi membrane [GO:0000139]; lysosomal membrane [GO:0005765]; perinuclear region of cytoplasm [GO:0048471]; secretory granule [GO:0030141]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]; SNARE binding [GO:0000149]; anterograde axonal transport [GO:0008089]; anterograde synaptic vesicle transport [GO:0048490]; autophagosome maturation [GO:0097352]; cellular protein-containing complex localization [GO:0034629]; endosome to lysosome transport [GO:0008333]; intracellular protein transport [GO:0006886]; late endosome to lysosome transport [GO:1902774]; lysosomal lumen acidification [GO:0007042]; lysosome localization [GO:0032418]; melanosome organization [GO:0032438]; negative regulation of neuron projection development [GO:0010977]; neuron projection development [GO:0031175]; neurotransmitter secretion [GO:0007269]; positive regulation of late endosome to lysosome transport [GO:1902824]; protein maturation [GO:0051604]; regulation of protein binding [GO:0043393]; regulation of synaptic vesicle exocytosis [GO:2000300]; retrograde axonal transport [GO:0008090]; synaptic vesicle exocytosis [GO:0016079]; synaptic vesicle fusion to presynaptic active zone membrane [GO:0031629]; synaptic vesicle maturation [GO:0016188]; synaptic vesicle transport [GO:0048489]; terminal button organization [GO:0072553]; viral process [GO:0016032],GO:0000139; GO:0000149; GO:0005765; GO:0006886; GO:0007042; GO:0007269; GO:0008021; GO:0008089; GO:0008090; GO:0008333; GO:0010977; GO:0016032; GO:0016079; GO:0016188; GO:0030054; GO:0030141; GO:0030672; GO:0031083; GO:0031175; GO:0031629; GO:0032418; GO:0032438; GO:0034629; GO:0043393; GO:0045202; GO:0048471; GO:0048489; GO:0048490; GO:0051604; GO:0072553; GO:0097352; GO:0099078; GO:1902774; GO:1902824; GO:1904115; GO:2000300,GO:0008090; GO:0031629; GO:0032418; GO:0032438; GO:0034629; GO:0048490; GO:0072553; GO:0097352; GO:2000300,transport; autophagy; cell-cell signaling; catabolic process; vesicle-mediated transport; cytoskeleton-dependent intracellular transport; pigmentation; membrane organization
CHOYP_RHO1.3.3.m.44338,-0.000429672,-0.03991913,Yes,gray50,gray,P48148,Ras-like GTP-binding protein Rho1,Small GTPase superfamily; Rho family,Rho1 CG8416,apical cortex [GO:0045179]; cell cortex [GO:0005938]; cell division site [GO:0032153]; cell hair [GO:0070451]; cell-cell contact zone [GO:0044291]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; kinase binding [GO:0019900]; protein kinase binding [GO:0019901]; actin cytoskeleton organization [GO:0030036]; actin cytoskeleton reorganization [GO:0031532]; actin filament bundle assembly [GO:0051017]; actin filament organization [GO:0007015]; actin-mediated cell contraction [GO:0070252]; adherens junction maintenance [GO:0034334]; axon guidance [GO:0007411]; border follicle cell migration [GO:0007298]; cell elongation involved in imaginal disc-derived wing morphogenesis [GO:0090254]; cell migration [GO:0016477]; cellular protein localization [GO:0034613]; cellularization [GO:0007349]; compound eye morphogenesis [GO:0001745]; cortical actin cytoskeleton organization [GO:0030866]; dendrite morphogenesis [GO:0048813]; dendrite self-avoidance [GO:0070593]; determination of left/right symmetry [GO:0007368]; dorsal closure [GO:0007391]; dorsal closure; leading edge cell differentiation [GO:0046663]; dorsal closure; spreading of leading edge cells [GO:0007395]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; establishment of planar polarity of embryonic epithelium [GO:0042249]; establishment of protein localization [GO:0045184]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; gastrulation involving germ band extension [GO:0010004]; germ-band extension [GO:0007377]; glial cell migration [GO:0008347]; hemocyte migration [GO:0035099]; imaginal disc-derived leg morphogenesis [GO:0007480]; imaginal disc-derived wing hair organization [GO:0035317]; lumen formation; open tracheal system [GO:0035149]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; melanization defense response [GO:0035006]; mitotic actomyosin contractile ring assembly [GO:1903475]; mitotic cytokinesis [GO:0000281]; motor neuron axon guidance [GO:0008045]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; neuroblast proliferation [GO:0007405]; neuron projection morphogenesis [GO:0048812]; open tracheal system development [GO:0007424]; peripheral nervous system development [GO:0007422]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of wound healing [GO:0090303]; posterior midgut invagination [GO:0007374]; protein localization involved in establishment of planar polarity [GO:0090251]; protein localization to adherens junction [GO:0071896]; pseudocleavage involved in syncytial blastoderm formation [GO:0030589]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of axonogenesis [GO:0050770]; regulation of cell migration [GO:0030334]; regulation of cell shape [GO:0008360]; regulation of cytoskeleton organization [GO:0051493]; regulation of embryonic cell shape [GO:0016476]; regulation of filopodium assembly [GO:0051489]; regulation of locomotor rhythm [GO:1904059]; regulation of Malpighian tubule size [GO:0035298]; regulation of myoblast fusion [GO:1901739]; regulation of tube length; open tracheal system [GO:0035159]; response to wounding [GO:0009611]; Rho protein signal transduction [GO:0007266]; salivary gland morphogenesis [GO:0007435]; spiracle morphogenesis; open tracheal system [GO:0035277]; tracheal pit formation in open tracheal system [GO:0035202]; ventral furrow formation [GO:0007370]; visual perception [GO:0007601]; wound healing [GO:0042060],GO:0000281; GO:0001745; GO:0003779; GO:0003924; GO:0005525; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0005938; GO:0006897; GO:0007015; GO:0007266; GO:0007298; GO:0007349; GO:0007368; GO:0007370; GO:0007374; GO:0007377; GO:0007391; GO:0007395; GO:0007405; GO:0007411; GO:0007422; GO:0007424; GO:0007435; GO:0007480; GO:0007601; GO:0008045; GO:0008347; GO:0008360; GO:0009611; GO:0010004; GO:0016476; GO:0016477; GO:0019900; GO:0019901; GO:0030036; GO:0030334; GO:0030589; GO:0030866; GO:0030950; GO:0031532; GO:0032153; GO:0032456; GO:0032956; GO:0034334; GO:0034613; GO:0035006; GO:0035099; GO:0035149; GO:0035159; GO:0035202; GO:0035277; GO:0035298; GO:0035317; GO:0042060; GO:0042249; GO:0043231; GO:0044291; GO:0045179; GO:0045184; GO:0045199; GO:0046663; GO:0048812; GO:0048813; GO:0050770; GO:0051017; GO:0051489; GO:0051493; GO:0070252; GO:0070451; GO:0070593; GO:0071896; GO:0071902; GO:0090090; GO:0090251; GO:0090254; GO:0090303; GO:1901739; GO:1903475; GO:1904059,GO:0007298; GO:0007349; GO:0007395; GO:0007435; GO:0034334; GO:0035006; GO:0035159; GO:0035277; GO:0035317; GO:0042249; GO:0045199; GO:0070593; GO:0090303; GO:1901739,reproduction; immune system process; response to stress; embryo development; secondary metabolic process; cell differentiation; cell junction organization; locomotion; anatomical structure formation involved in morphogenesis; anatomical structure development; cell motility
